Archivo;Ayuntamiento;Prioridad;Fila;Tipo;Descripción;Vertical;Sensores;Importe;Solicitado
AnexoIIAbanilla1.pdf;Abanilla;1;1;3;aaa;1;1;1;1
AnexoIIAbanilla1.pdf;Abanilla;1;2;2;bbb;10;2;1;1
AnexoIIAbanilla1.pdf;Abanilla;1;3;3;ccc;11;3;1;1
AnexoIIAbanilla1.pdf;Abanilla;1;4;2;c;1;4;1;1
AnexoIIAbanilla1.pdf;Abanilla;1;5;1;cc;2;2;1;1
AnexoIIAbanilla1.pdf;Abanilla;1;6;3;ccc;3;5;1;1
AnexoIIAbanilla1.pdf;Abanilla;1;7;2;aa;2;9;1;1
AnexoIIAbanilla1.pdf;Abanilla;1;8;1;aaa;3;8;1;1
AnexoIIAbanilla1.pdf;Abanilla;1;9;2;aaaaaa;4;7;1;1
AnexoIIAbanilla1.pdf;Abanilla;1;10;3;a;5;6;1;1
AnexoIIAbanilla1.pdf;Abanilla;1;11;2;aa;6;5;1;1
AnexoIIAbanilla1.pdf;Abanilla;1;12;3;aaa;7;4;1;1
AnexoIIAbanilla1.pdf;Abanilla;1;13;1;aaaa;8;3;1;1
AnexoIIAbanilla1.pdf;Abanilla;1;14;1;aaaaaa;9;2;1;1
AnexoIIAbanilla1.pdf;Abanilla;1;15;1;a;1;1;1;1
AnexoIIAbanilla1.pdf;Abanilla;1;16;1;aa;2;9;1;1
AnexoIIAbanilla1.pdf;Abanilla;1;17;3;aaaaaaaaa;3;8;1;1
AnexoIIAbanilla1.pdf;Abanilla;1;18;2;aa;4;7;1;1
AnexoIIAbanilla2.pdf;Abanilla;2;1;3;aaa;1;1;1;1
AnexoIIAbanilla2.pdf;Abanilla;2;2;2;bbb;10;2;1;1
AnexoIIAbanilla2.pdf;Abanilla;2;3;3;ccc;11;3;1;1
AnexoIIAbanilla2.pdf;Abanilla;2;4;2;c;1;4;1;1
AnexoIIAbanilla2.pdf;Abanilla;2;5;1;cc;2;2;1;1
AnexoIIAbanilla2.pdf;Abanilla;2;6;3;ccc;3;5;1;1
AnexoIIAbanilla2.pdf;Abanilla;2;7;2;aa;2;9;1;1
AnexoIIAbanilla2.pdf;Abanilla;2;8;1;aaa;3;8;1;1
AnexoIIAbanilla2.pdf;Abanilla;2;9;2;aaaaaa;4;7;1;1
AnexoIIAbanilla2.pdf;Abanilla;2;10;3;a;5;6;1;1
AnexoIIAbanilla2.pdf;Abanilla;2;11;2;aa;6;5;1;1
AnexoIIAbanilla2.pdf;Abanilla;2;12;3;aaa;7;4;1;1
AnexoIIAbanilla2.pdf;Abanilla;2;13;1;aaaa;8;3;1;1
AnexoIIAbanilla2.pdf;Abanilla;2;14;1;aaaaaa;9;2;1;1
AnexoIIAbanilla2.pdf;Abanilla;2;15;1;a;1;1;1;1
AnexoIIAbanilla2.pdf;Abanilla;2;16;1;aa;2;9;1;1
AnexoIIAbanilla2.pdf;Abanilla;2;17;3;aaaaaaaaa;3;8;1;1
AnexoIIAbanilla2.pdf;Abanilla;2;18;2;aa;4;7;1;1
AnexoIIAledo1.pdf;Aledo;1;1;3;aaa;1;1;1;1
AnexoIIAledo1.pdf;Aledo;1;2;2;bbb;10;2;1;1
AnexoIIAledo1.pdf;Aledo;1;3;3;ccc;11;3;1;1
AnexoIIAledo1.pdf;Aledo;1;4;2;c;1;4;1;1
AnexoIIAledo1.pdf;Aledo;1;5;1;cc;2;2;1;1
AnexoIIAledo1.pdf;Aledo;1;6;3;ccc;3;5;1;1
AnexoIIAledo1.pdf;Aledo;1;7;2;aa;2;9;1;1
AnexoIIAledo1.pdf;Aledo;1;8;1;aaa;3;8;1;1
AnexoIIAledo1.pdf;Aledo;1;9;2;aaaaaa;4;7;1;1
AnexoIIAledo1.pdf;Aledo;1;10;3;a;5;6;1;1
AnexoIIAledo1.pdf;Aledo;1;11;2;aa;6;5;1;1
AnexoIIAledo1.pdf;Aledo;1;12;3;aaa;7;4;1;1
AnexoIIAledo1.pdf;Aledo;1;13;1;aaaa;8;3;1;1
AnexoIIAledo1.pdf;Aledo;1;14;1;aaaaaa;9;2;1;1
AnexoIIAledo1.pdf;Aledo;1;15;1;a;1;1;1;1
AnexoIIAledo1.pdf;Aledo;1;16;1;aa;2;9;1;1
AnexoIIAledo1.pdf;Aledo;1;17;  ;; ;;;
AnexoIIAledo1.pdf;Aledo;1;18;  ;; ;;;
AnexoIIBlanca1.pdf;Blanca;1;1;3;publi;1;6;10000.01;10000.01
